[2025-02-05 13:17:51] Method: GET | URL: http://127.0.0.1:8000/flights/11/reservations/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:18:08] Method: GET | URL: http://127.0.0.1:8000/airplanes/10/flights/ | Status: 404 | IP: 127.0.0.1
[2025-02-05 13:18:23] Method: GET | URL: http://127.0.0.1:8000/airplanes/10/flights/ | Status: 404 | IP: 127.0.0.1
[2025-02-05 13:18:27] Method: GET | URL: http://127.0.0.1:8000/airplanes/1/flights/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:18:41] Method: POST | URL: http://127.0.0.1:8000/airplanes/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 13:18:45] Method: POST | URL: http://127.0.0.1:8000/airplanes/create/ | Status: 400 | IP: 127.0.0.1
[2025-02-05 13:19:09] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 404 | IP: 127.0.0.1
[2025-02-05 13:21:43] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 13:22:15] Method: PATCH | URL: http://127.0.0.1:8000/reservations/11/update/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:22:33] Method: PATCH | URL: http://127.0.0.1:8000/reservations/111/update/ | Status: 404 | IP: 127.0.0.1
[2025-02-05 13:22:39] Method: PATCH | URL: http://127.0.0.1:8000/reservations/11/update/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:22:56] Method: POST | URL: http://127.0.0.1:8000/flights/create/ | Status: 400 | IP: 127.0.0.1
[2025-02-05 13:23:03] Method: POST | URL: http://127.0.0.1:8000/flights/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 13:23:08] Method: PATCH | URL: http://127.0.0.1:8000/airplanes/3/update/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:23:12] Method: PATCH | URL: http://127.0.0.1:8000/airplanes/33/update/ | Status: 404 | IP: 127.0.0.1
[2025-02-05 13:23:30] Method: PATCH | URL: http://127.0.0.1:8000/flights/11/update/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:23:40] Method: DELETE | URL: http://127.0.0.1:8000/airplanes/10/delete/ | Status: 404 | IP: 127.0.0.1
[2025-02-05 13:23:50] Method: DELETE | URL: http://127.0.0.1:8000/airplanes/13/delete/ | Status: 204 | IP: 127.0.0.1
[2025-02-05 13:24:02] Method: DELETE | URL: http://127.0.0.1:8000/flights/3/delete/ | Status: 404 | IP: 127.0.0.1
[2025-02-05 13:24:08] Method: DELETE | URL: http://127.0.0.1:8000/flights/15/delete/ | Status: 204 | IP: 127.0.0.1
[2025-02-05 13:24:16] Method: GET | URL: http://127.0.0.1:8000/flights/?departure=Los%20Angeles | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:24:23] Method: GET | URL: http://127.0.0.1:8000/flights/?destination=Singapore | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:24:28] Method: GET | URL: http://127.0.0.1:8000/flights/?arrival_time=2025-02-09 | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:24:33] Method: GET | URL: http://127.0.0.1:8000/flights/?departure_time=2025-02-08 | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:24:37] Method: GET | URL: http://127.0.0.1:8000/flights/?arrival_time=2025-02-09&departure_time=2025-02-08 | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:24:41] Method: GET | URL: http://127.0.0.1:8000/flights/?departure=Los%20Angeles&destination=Singapore&arrival_time=2025-02-09&departure_time=2025-02-08 | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:24:50] Method: GET | URL: http://127.0.0.1:8000/flights/?departure=Los%20Angeles&destination=Singapore | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:25:16] Method: GET | URL: http://127.0.0.1:8000/flights/?arrival_time=2025-02-09 | Status: 200 | IP: 127.0.0.1
[2025-02-05 13:25:27] Method: GET | URL: http://127.0.0.1:8000/flights/?departure=Berlin | Status: 200 | IP: 127.0.0.1
[2025-02-05 15:28:14] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 15:28:15] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 500 | IP: 127.0.0.1
[2025-02-05 15:29:59] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 15:29:59] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 500 | IP: 127.0.0.1
[2025-02-05 15:30:26] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 15:30:26] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 500 | IP: 127.0.0.1
[2025-02-05 15:30:36] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 15:31:57] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 15:31:57] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 500 | IP: 127.0.0.1
[2025-02-05 15:34:19] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 15:34:20] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 500 | IP: 127.0.0.1
[2025-02-05 15:34:29] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 15:34:58] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 15:34:59] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 500 | IP: 127.0.0.1
[2025-02-05 15:35:28] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 15:35:29] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 500 | IP: 127.0.0.1
[2025-02-05 15:36:39] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 15:37:32] Method: POST | URL: http://127.0.0.1:8000/reservations/create/ | Status: 201 | IP: 127.0.0.1
[2025-02-05 18:11:00] Method: GET | URL: http://127.0.0.1:8000/airplanes/ | Status: 200 | IP: 127.0.0.1
[2025-02-05 18:11:06] Method: GET | URL: http://127.0.0.1:8000/reservations/ | Status: 200 | IP: 127.0.0.1
